,No,HoMe,Away,Result,HoMe_SCore,Away_SCore
0,609,仙台,甲府,0,1,1
1,609,横浜M,湘南,1,4,2
2,609,名古屋,磐田,0,1,1
3,609,広島,浦和,2,1,2
4,609,鳥栖,鹿島,0,1,1
5,609,C大阪,新潟,1,1,0
6,609,大宮,清水,0,2,2
7,609,大分,F東京,2,1,2
8,609,柏,川崎,1,3,1
9,609,徳島,神戸,2,0,1
10,609,岐阜,横浜C,2,0,2
11,609,北九州,富山,2,1,2
12,609,熊本,鳥取,2,1,2
13,610,新潟,広島,2,1,2
14,610,鹿島,仙台,1,3,2
15,610,F東京,柏,1,3,0
16,610,甲府,C大阪,2,1,2
17,610,清水,横浜M,2,0,5
18,610,湘南,鳥栖,0,1,1
19,610,川崎,大分,0,1,1
20,610,磐田,大宮,2,0,1
21,610,浦和,名古屋,1,1,0
22,610,群馬,鳥取,0,0,0
23,610,岡山,北九州,0,0,0
24,610,水戸,富山,1,1,0
25,610,愛媛,松本,0,1,1
26,611,仙台,柏,1,2,1
27,611,横浜M,磐田,1,2,1
28,611,鳥栖,川崎,1,5,4
29,611,大宮,新潟,0,1,1
30,611,C大阪,F東京,1,1,0
31,611,大分,浦和,0,2,2
32,611,湘南,清水,0,1,1
33,611,甲府,名古屋,2,0,1
34,611,広島,鹿島,0,0,0
35,611,松本,熊本,2,1,2
36,611,福岡,京都,2,1,2
37,611,山形,長崎,1,2,0
38,611,栃木,千葉,0,0,0
39,612,清水,甲府,0,1,1
40,612,新潟,大分,0,1,1
41,612,F東京,鳥栖,0,0,0
42,612,大宮,磐田,2,0,2
43,612,名古屋,C大阪,0,1,1
44,612,横浜M,川崎,1,1,0
45,612,山形,栃木,1,2,1
46,612,京都,神戸,1,4,1
47,612,熊本,G大阪,0,2,2
48,612,札幌,松本,2,1,2
49,612,徳島,福岡,1,2,1
50,612,岡山,水戸,0,1,1
51,612,北九州,東京V,0,1,1
52,613,磐田,清水,1,5,1
53,613,大分,C大阪,2,1,2
54,613,湘南,大宮,2,1,3
55,613,鹿島,F東京,2,2,4
56,613,鳥栖,名古屋,2,1,2
57,613,甲府,横浜M,2,0,2
58,613,松本,長崎,0,1,1
59,613,富山,京都,1,1,0
60,613,鳥取,栃木,0,1,1
61,613,北九州,山形,2,1,2
62,613,岐阜,徳島,2,0,1
63,613,横浜C,岡山,2,0,1
64,613,G大阪,千葉,0,1,1
65,614,清水,広島,2,0,4
66,614,C大阪,仙台,0,1,1
