,HomeTeam,Awayteam,LotteryNo,league,section,year,mon,day,boteHome,boteDraw,boteAway,home_rank,home_point,home_win,home_draw,home_lose,home_win_onHome,home_draw_onHome,home_lose_onHome,home_getScore,home_AvegetScore,home_lossScore,home_AvelossScore,home_shootNum,home_shootedNum,home_getCount_0,home_getCount_1,home_getCount_2,home_getCount_3,home_lossCount_0,home_lossCount_1,home_lossCount_2,home_lossCount_3,home_RecentScore,home_RecentAveScore,home_RecentLoss,home_RecentAveLoss,away_rank,away_point,away_win,away_draw,away_lose,away_win_onAway,away_draw_onAway,away_lose_onAway,away_getScore,away_AvegetScore,away_lossScore,away_AvelossScore,away_shootNum,away_shootedNum,away_getCount_0,away_getCount_1,away_getCount_2,away_getCount_3,away_lossCount_0,away_lossCount_1,away_lossCount_2,away_lossCount_3,away_RecentScore,away_RecentAveScore,away_RecentLoss,away_RecentAveLoss
0,横浜M,鳥栖,1192,J1,25,2020,09,30,73,13,14,5,33,10,3,8,6,1,4,43,2.05,34,1.62,271,211,2,8,1,10,4,7,4,6,9,3,3,1,14,17,4,5,7,14,17,4,19,1.19,22,1.38,120,153,7,3,2,4,4,5,5,2,7,2.33,7,2.33
1,神戸,名古屋,1192,J1,29,2020,09,30,40,21,39,10,26,6,8,7,3,4,5,35,1.67,35,1.67,281,223,4,6,6,5,3,6,7,5,9,3,5,1.67,4,33,10,3,5,4,33,10,30,1.67,19,1.06,174,152,3,6,6,3,6,7,3,2,6,2,4,1.33
2,浦和,F東京,1192,J1,29,2020,09,30,31,22,47,9,30,9,3,7,3,3,4,26,1.37,34,1.79,172,240,6,4,6,3,4,5,5,5,2,0.67,6,2,3,38,11,5,5,3,38,11,35,1.67,27,1.29,216,207,3,6,7,5,8,5,3,5,3,1,3,1
3,群馬,山形,1192,J2,23,2020,09,30,23,25,52,21,19,6,1,15,2,1,8,18,0.82,39,1.77,162,162,11,6,3,2,2,8,7,5,2,0.67,4,1.33,17,26,6,8,8,17,26,6,21,0.95,22,1,222,186,9,9,1,3,8,9,3,2,2,0.67,4,1.33
4,山口,磐田,1192,J2,23,2020,09,30,19,19,62,20,19,5,4,13,4,1,6,23,1.05,39,1.77,230,257,7,9,5,1,3,5,10,4,5,1.67,4,1.33,10,30,7,9,6,10,30,7,32,1.45,25,1.1400000000000001,244,176,7,3,10,2,6,8,7,1,3,1,5,1.67
5,松本,金沢,1192,J2,23,2020,09,30,37,31,32,19,20,4,8,10,3,2,4,21,0.95,36,1.6400000000000001,207,227,7,9,6,0,4,7,7,4,4,1.33,9,3,15,28,7,7,8,15,28,7,31,1.41,31,1.41,228,202,7,8,3,4,6,8,4,4,1,0.33,2,0.67
6,岡山,愛媛,1192,J2,23,2020,09,30,60,22,18,16,27,7,6,9,5,3,5,20,0.91,23,1.05,181,227,7,11,3,1,6,9,7,0,5,1.67,4,1.33,22,18,4,6,12,22,18,4,21,0.95,29,1.32,157,225,10,7,2,3,6,7,6,3,0,0,1,0.33
7,福岡,栃木,1192,J2,23,2020,09,30,63,20,17,4,40,12,4,6,5,2,4,25,1.1400000000000001,19,0.86,176,163,4,12,5,1,9,8,4,1,6,2,2,0.67,7,33,9,6,7,7,33,9,22,1,20,0.91,209,157,8,7,6,1,8,9,4,1,7,2.33,5,1.67
8,琉球,新潟,1192,J2,23,2020,09,30,27,21,52,18,23,6,5,11,2,4,4,32,1.45,38,1.73,218,227,5,10,4,3,3,9,5,5,9,3,4,1.33,9,31,7,10,5,9,31,7,30,1.3599999999999999,27,1.23,223,160,4,11,2,5,7,9,2,4,1,0.33,2,0.67
9,千葉,京都,1192,J2,23,2020,09,30,29,23,48,12,29,9,2,11,3,1,7,28,1.27,26,1.18,195,235,5,8,7,2,8,4,8,2,4,1.33,3,1,6,34,9,7,6,6,34,9,28,1.27,24,1.09,210,198,7,5,8,2,8,7,5,2,5,1.67,6,2
