,HomeTeam,Awayteam,LotteryNo,league,section,year,mon,day,boteHome,boteDraw,boteAway,home_rank,home_point,home_win,home_draw,home_lose,home_win_onHome,home_draw_onHome,home_lose_onHome,home_getScore,home_AvegetScore,home_lossScore,home_AvelossScore,home_shootNum,home_shootedNum,home_getCount_0,home_getCount_1,home_getCount_2,home_getCount_3,home_lossCount_0,home_lossCount_1,home_lossCount_2,home_lossCount_3,home_RecentScore,home_RecentAveScore,home_RecentLoss,home_RecentAveLoss,away_rank,away_point,away_win,away_draw,away_lose,away_win_onAway,away_draw_onAway,away_lose_onAway,away_getScore,away_AvegetScore,away_lossScore,away_AvelossScore,away_shootNum,away_shootedNum,away_getCount_0,away_getCount_1,away_getCount_2,away_getCount_3,away_lossCount_0,away_lossCount_1,away_lossCount_2,away_lossCount_3,away_RecentScore,away_RecentAveScore,away_RecentLoss,away_RecentAveLoss,Result,Home_Score,Away_Score
0,名古屋,清水,1191,J1,19,2020,9,26,77,12,11,6,33,10,3,5,6,1,2,30,1.67,19,1.06,174,152,3,6,6,3,6,7,3,2,6,2.0,4,1.33,16,12,3,3,14,16,12,3,26,1.03,45,2.25,203,248,4,11,1,4,2,3,7,8,5,1.67,5,1.67,1,3,1
1,浦和,横浜C,1191,J1,19,2020,9,26,68,16,16,8,30,9,3,7,3,3,4,26,1.37,34,1.79,172,240,6,4,6,3,4,5,5,5,2,0.67,6,2.0,14,20,6,2,11,14,20,6,25,1.32,37,1.95,163,227,5,8,2,4,2,4,9,4,4,1.33,4,1.33,2,0,2
2,鳥栖,F東京,1191,J1,19,2020,9,27,15,17,68,15,17,4,5,7,3,3,3,19,1.19,22,1.38,120,153,7,3,2,4,4,5,5,2,7,2.33,7,2.33,3,38,11,5,5,3,38,11,35,1.67,27,1.29,216,207,3,6,7,5,8,5,3,5,3,1.0,3,1.0,1,3,0
3,鹿島,大分,1191,J1,19,2020,9,27,80,12,8,4,33,10,3,7,4,3,2,31,1.55,27,1.35,277,153,6,3,7,4,2,10,7,1,3,1.0,3,1.0,12,25,7,4,9,12,25,7,23,1.15,28,1.04,148,228,6,7,5,2,6,5,6,3,3,1.0,2,0.67,2,0,2
4,柏,横浜M,1191,J1,19,2020,9,27,39,22,39,5,30,9,3,7,4,1,5,35,1.84,28,1.47,218,195,2,9,2,6,5,5,4,5,3,1.0,4,1.33,7,33,10,3,8,7,33,10,43,2.05,34,1.62,271,211,2,8,1,10,4,7,4,6,9,3.0,3,1.0,2,1,3
5,神戸,札幌,1191,J1,19,2020,9,26,59,21,20,11,26,6,8,7,3,4,5,35,1.67,35,1.67,281,223,4,6,6,5,3,6,7,5,9,3.0,5,1.67,13,17,4,5,11,13,17,4,23,1.15,40,2.0,240,233,7,5,6,2,4,6,3,7,0,0.0,6,2.0,1,4,0
6,仙台,C大阪,1191,J1,19,2020,9,27,11,12,77,17,11,2,5,11,0,3,6,18,1.0,35,1.94,189,234,4,10,4,0,2,6,4,6,3,1.0,7,2.33,2,42,13,3,4,2,42,13,30,1.05,20,1.0,185,230,4,5,8,3,8,7,4,1,4,1.33,6,2.0,2,2,3
7,広島,G大阪,1191,J1,19,2020,9,27,41,25,34,10,25,7,4,7,3,2,3,27,1.05,22,1.22,202,181,3,8,3,4,7,5,3,3,4,1.33,3,1.0,9,32,10,2,6,9,32,10,26,1.44,23,1.28,204,223,3,6,8,1,3,10,2,3,5,1.67,2,0.67,2,1,2
8,湘南,川崎,1191,J1,19,2020,9,27,6,7,87,18,9,2,3,13,1,2,6,14,0.78,31,1.72,130,236,9,4,5,0,3,7,1,7,0,0.0,5,1.67,1,53,17,2,1,1,53,17,59,2.95,18,0.09,320,139,2,2,3,13,7,8,5,0,7,2.33,2,0.67,2,0,1
9,新潟,甲府,1191,J2,22,2020,9,26,33,33,34,8,31,7,10,5,4,5,3,30,1.36,27,1.23,223,160,4,11,2,5,7,9,2,4,1,0.33,2,0.67,6,35,8,11,3,6,35,8,31,1.41,25,1.14,168,235,4,8,7,3,7,9,3,3,2,0.67,2,0.67,0,1,1
10,山形,磐田,1191,J2,22,2020,9,27,19,26,55,17,26,6,8,8,4,3,4,21,0.95,22,1.0,222,186,9,9,1,3,8,9,3,2,2,0.67,4,1.33,7,30,7,9,6,7,30,7,32,1.45,25,1.14,244,176,7,3,10,2,6,8,7,1,3,1.0,5,1.67,1,1,0
11,愛媛,金沢,1191,J2,22,2020,9,26,20,28,52,22,18,4,6,12,2,3,7,21,0.95,29,1.32,157,225,10,7,2,3,6,7,6,3,0,0.0,1,0.33,13,28,7,7,8,13,28,7,31,1.41,31,1.41,228,202,7,8,3,4,6,8,4,4,1,0.33,2,0.67,0,0,0
12,札幌,柏,1190,J1,18,2020,9,23,20,17,63,13,17,4,5,11,1,3,6,23,1.15,40,2.0,240,233,7,5,6,2,4,6,3,7,0,0.0,6,2.0,6,30,9,3,7,6,30,9,35,1.84,28,1.47,218,195,2,9,2,6,5,5,4,5,3,1.0,4,1.33,2,0,1
13,鹿島,湘南,1190,J1,18,2020,9,23,84,9,7,5,33,10,3,7,4,3,2,31,1.55,27,1.35,277,153,6,3,7,4,2,10,7,1,3,1.0,3,1.0,18,9,2,3,13,18,9,2,14,0.78,31,1.72,130,236,9,4,5,0,3,7,1,7,0,0.0,5,1.67,1,1,0
14,川崎,横浜C,1190,J1,18,2020,9,23,88,6,6,1,53,17,2,1,9,1,0,59,2.95,18,0.09,320,139,2,2,3,13,7,8,5,0,7,2.33,2,0.67,14,20,6,2,11,14,20,6,25,1.32,37,1.95,163,227,5,8,2,4,2,4,9,4,4,1.33,4,1.33,1,3,2
15,G大阪,名古屋,1190,J1,18,2020,9,23,31,26,43,9,32,10,2,6,4,0,5,26,1.44,23,1.28,204,223,3,6,8,1,3,10,2,3,5,1.67,2,0.67,4,33,10,3,5,4,33,10,30,1.67,19,1.06,174,152,3,6,6,3,6,7,3,2,6,2.0,4,1.33,1,2,1
16,清水,浦和,1190,J1,18,2020,9,23,21,19,60,16,12,3,3,14,2,0,8,26,1.03,45,2.25,203,248,4,11,1,4,2,3,7,8,5,1.67,5,1.67,8,30,9,3,7,8,30,9,26,1.37,34,1.79,172,240,6,4,6,3,4,5,5,5,2,0.67,6,2.0,2,1,2
17,F東京,C大阪,1190,J1,18,2020,9,23,35,27,38,3,38,11,5,5,6,0,4,35,1.67,27,1.29,216,207,3,6,7,5,8,5,3,5,3,1.0,3,1.0,2,42,13,3,4,2,42,13,30,1.05,20,1.0,185,230,4,5,8,3,8,7,4,1,4,1.33,6,2.0,1,2,0
18,神戸,鳥栖,1190,J1,18,2020,9,23,59,23,18,12,26,6,8,7,3,4,5,35,1.67,35,1.67,281,223,4,6,6,5,3,6,7,5,9,3.0,5,1.67,15,17,4,5,7,15,17,4,19,1.19,22,1.38,120,153,7,3,2,4,4,5,5,2,7,2.33,7,2.33,1,4,3
19,大分,広島,1190,J1,18,2020,9,23,29,28,43,11,25,7,4,9,3,3,4,23,1.15,28,1.04,148,228,6,7,5,2,6,5,6,3,3,1.0,2,0.67,10,25,7,4,7,10,25,7,27,1.05,22,1.22,202,181,3,8,3,4,7,5,3,3,4,1.33,3,1.0,2,0,2
20,横浜M,仙台,1190,J1,18,2020,9,23,82,10,8,7,33,10,3,8,6,1,4,43,2.05,34,1.62,271,211,2,8,1,10,4,7,4,6,9,3.0,3,1.0,17,11,2,5,11,17,11,2,18,1.0,35,1.94,189,234,4,10,4,0,2,6,4,6,3,1.0,7,2.33,1,3,1
21,岡山,山形,1190,J2,21,2020,9,23,35,36,29,17,27,7,6,9,5,3,5,20,0.91,23,1.05,181,227,7,11,3,1,6,9,7,0,5,1.67,4,1.33,16,26,6,8,8,16,26,6,21,0.95,22,1.0,222,186,9,9,1,3,8,9,3,2,2,0.67,4,1.33,1,2,1
22,愛媛,新潟,1190,J2,21,2020,9,23,15,20,65,21,18,4,6,12,2,3,7,21,0.95,29,1.32,157,225,10,7,2,3,6,7,6,3,0,0.0,1,0.33,9,31,7,10,5,9,31,7,30,1.36,27,1.23,223,160,4,11,2,5,7,9,2,4,1,0.33,2,0.67,0,0,0
23,北九州,水戸,1190,J2,21,2020,9,23,71,16,13,1,44,14,2,6,8,1,3,35,1.59,23,1.05,226,234,6,2,11,3,7,9,4,2,2,0.67,4,1.33,15,30,8,6,8,15,30,8,37,1.6800000000000002,33,1.05,269,238,5,5,6,6,5,5,8,4,8,2.67,4,1.33,2,0,3
24,札幌,G大阪,1189,J1,17,2020,9,19,34,21,45,13,17,4,5,11,1,3,6,23,1.15,40,2.0,240,233,7,5,6,2,4,6,3,7,0,0.0,6,2.0,9,32,10,2,6,9,32,10,26,1.44,23,1.28,204,223,3,6,8,1,3,10,2,3,5,1.67,2,0.67,2,0,1
25,鳥栖,横浜M,1189,J1,17,2020,9,19,21,18,61,15,17,4,5,7,3,3,3,19,1.19,22,1.38,120,153,7,3,2,4,4,5,5,2,7,2.33,7,2.33,8,33,10,3,8,8,33,10,43,2.05,34,1.62,271,211,2,8,1,10,4,7,4,6,9,3.0,3,1.0,2,1,3
26,C大阪,鹿島,1189,J1,17,2020,9,19,40,22,38,2,42,13,3,4,5,2,2,30,1.05,20,1.0,185,230,4,5,8,3,8,7,4,1,4,1.33,6,2.0,5,33,10,3,7,5,33,10,31,1.55,27,1.35,277,153,6,3,7,4,2,10,7,1,3,1.0,3,1.0,2,1,2
27,湘南,清水,1189,J1,17,2020,9,19,51,22,27,17,9,2,3,13,1,2,6,14,0.78,31,1.72,130,236,9,4,5,0,3,7,1,7,0,0.0,5,1.67,18,12,3,3,14,18,12,3,26,1.03,45,2.25,203,248,4,11,1,4,2,3,7,8,5,1.67,5,1.67,2,0,3
28,柏,広島,1189,J1,17,2020,9,19,58,18,24,7,30,9,3,7,4,1,5,35,1.84,28,1.47,218,195,2,9,2,6,5,5,4,5,3,1.0,4,1.33,10,25,7,4,7,10,25,7,27,1.05,22,1.22,202,181,3,8,3,4,7,5,3,3,4,1.33,3,1.0,0,1,1
29,名古屋,神戸,1189,J1,17,2020,9,19,54,22,24,4,33,10,3,5,6,1,2,30,1.67,19,1.06,174,152,3,6,6,3,6,7,3,2,6,2.0,4,1.33,11,26,6,8,7,11,26,6,35,1.67,35,1.67,281,223,4,6,6,5,3,6,7,5,9,3.0,5,1.67,1,2,1
30,大分,横浜C,1189,J1,17,2020,9,20,48,25,27,12,25,7,4,9,3,3,4,23,1.15,28,1.04,148,228,6,7,5,2,6,5,6,3,3,1.0,2,0.67,14,20,6,2,11,14,20,6,25,1.32,37,1.95,163,227,5,8,2,4,2,4,9,4,4,1.33,4,1.33,1,1,0
